MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;REFERENTIE;NOTITIE_CODE;NOTITIE_OMSCHRIJVING;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;04-02-2021;00:00:00;;6724;6724;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;05-02-2021;00:00:00;;6893;6893;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;06-02-2021;00:00:00;;7156;7156;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;07-02-2021;00:00:00;;7274;7274;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;08-02-2021;00:00:00;;7337;7337;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;09-02-2021;00:00:00;;7311;7311;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;10-02-2021;00:00:00;;6912;6912;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;11-02-2021;00:00:00;;6175;6175;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;12-02-2021;00:00:00;;5386;5386;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;13-02-2021;00:00:00;;4695;4695;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
